Input String,comet_token id_var2 arith_assign cmt_3 sep_semicolon comet_token id_var1 arith_assign id_var2 sep_semicolon comet_token id_var3 arith_assign cmt_6 sep_semicolon id_var1 arith_assign cmt_4 sep_semicolon id_var2 arith_assign cmt_5 sep_semicolon transmission_token sep_op_par id_var2 sep_cl_par sep_semicolon transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon,
REDUCE TO decStmt decStmt decStmt expr expr transmissionStmt <- transmission_token sep_op_par identifier sep_cl_par sep_semicolon                                            ,,
REDUCE TO decStmt decStmt decStmt expr expr expr <- transmissionStmt                                                ,,
SHIFT,decStmt decStmt decStmt expr expr expr,transmission_token sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr transmission_token,sep_op_par "Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr transmission_token sep_op_par,"Helllo World! :D" sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr transmission_token sep_op_par string <- "Helllo World! :D"                                             ,,
SHIFT,decStmt decStmt decStmt expr expr expr transmission_token sep_op_par string,sep_cl_par sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr transmission_token sep_op_par string sep_cl_par,sep_semicolon id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr transmissionStmt <- transmission_token sep_op_par string sep_cl_par sep_semicolon                                           ,,
REDUCE TO decStmt decStmt decStmt expr expr expr expr <- transmissionStmt                                               ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr,id_var1 arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr expr identifier <- id_var1                                              ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr identifier,arith_assign reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr identifier arith_assign,reception_token sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr identifier arith_assign reception_token,sep_op_par "Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr identifier arith_assign reception_token sep_op_par,"Enter value of var1: " sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr expr identifier arith_assign reception_token sep_op_par string <- "Enter value of var1: "                                          ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr identifier arith_assign reception_token sep_op_par string,sep_cl_par sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr identifier arith_assign reception_token sep_op_par string sep_cl_par,sep_semicolon id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr expr receptionStmt <- identifier arith_assign reception_token sep_op_par string sep_cl_par sep_semicolon                                        ,,
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr <- receptionStmt                                              ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr expr,id_var2 arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr identifier <- id_var2                                             ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr expr identifier,arith_assign reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr expr identifier arith_assign,reception_token sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr expr identifier arith_assign reception_token,sep_op_par "Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr expr identifier arith_assign reception_token sep_op_par,"Enter value of var2: " sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr identifier arith_assign reception_token sep_op_par string <- "Enter value of var2: "                                         ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr expr identifier arith_assign reception_token sep_op_par string,sep_cl_par sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr expr identifier arith_assign reception_token sep_op_par string sep_cl_par,sep_semicolon id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr receptionStmt <- identifier arith_assign reception_token sep_op_par string sep_cl_par sep_semicolon                                       ,,
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr expr <- receptionStmt                                             ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr expr expr,id_var3 arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr expr identifier <- id_var3                                            ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr expr expr identifier,arith_assign reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr expr expr identifier arith_assign,reception_token sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr expr expr identifier arith_assign reception_token,sep_op_par "Enter value of var3: " sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr expr expr identifier arith_assign reception_token sep_op_par,"Enter value of var3: " sep_cl_par sep_semicolon
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr expr identifier arith_assign reception_token sep_op_par string <- "Enter value of var3: "                                        ,,
SHIFT,decStmt decStmt decStmt expr expr expr expr expr expr identifier arith_assign reception_token sep_op_par string,sep_cl_par sep_semicolon
SHIFT,decStmt decStmt decStmt expr expr expr expr expr expr identifier arith_assign reception_token sep_op_par string sep_cl_par,
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr expr receptionStmt <- identifier arith_assign reception_token sep_op_par string sep_cl_par sep_semicolon                                      ,,
REDUCE TO decStmt decStmt decStmt expr expr expr expr expr expr expr <- receptionStmt                                            ,,
ACCEPT,,
